Year,Lowestfifth,Secondfifth,Thirdfifth,Fourthfifth,Highestfifth,Top5percent
2012,3.8,9.2,15.1,23.0,48.9,21.3
2011,3.8,9.3,15.1,23.0,48.9,21.3
2010,3.8,9.5,15.4,23.5,47.8,20.0
2009,3.9,9.4,15.3,23.2,48.2,20.7
2008,4.0,9.6,15.5,23.1,47.8,20.5
2007,4.1,9.7,15.6,23.3,47.3,20.1
2006,4.0,9.5,15.1,22.9,48.5,21.5
2005,4.0,9.6,15.3,22.9,48.1,21.1
2004r,4.0,9.6,15.4,23.0,47.9,20.9
2003,4.1,9.6,15.5,23.2,47.6,20.5
2002,4.2,9.7,15.5,23.0,47.6,20.8
2001,4.2,9.7,15.4,22.9,47.7,21.0
2000,4.3,9.8,15.4,22.7,47.7,21.1
1999,4.3,9.9,15.6,23.0,47.2,20.3
1998,4.2,9.9,15.7,23.0,47.3,20.7
1997,4.2,9.9,15.7,23.0,47.2,20.7
1996,4.2,10.0,15.8,23.1,46.8,20.3
1995,4.4,10.1,15.8,23.2,46.5,20.0
1994,4.2,10.0,15.7,23.3,46.9,20.1
1993,4.1,9.9,15.7,23.3,47.0,20.3
1992,4.3,10.5,16.5,24.0,44.7,17.6
1991,4.5,10.7,16.6,24.1,44.2,17.1
1990,4.6,10.8,16.6,23.8,44.3,17.4
1989,4.6,10.6,16.5,23.7,44.6,17.9
1988,4.6,10.7,16.7,24.0,44.0,17.2
1987,4.6,10.7,16.8,24.0,43.8,17.2
1986,4.7,10.9,16.9,24.1,43.4,16.5
1985,4.8,11.0,16.9,24.3,43.1,16.1
1984,4.8,11.1,17.1,24.5,42.5,15.4
1983,4.9,11.2,17.2,24.5,42.4,15.3
1982,5.0,11.3,17.2,24.4,42.2,15.3
1981,5.3,11.4,17.5,24.6,41.2,14.4
1980,5.3,11.6,17.6,24.4,41.1,14.6
1979,5.4,11.6,17.5,24.1,41.4,15.3
1978,5.4,11.7,17.6,24.2,41.1,15.1
1977,5.5,11.7,17.6,24.3,40.9,14.9
1976,5.6,11.9,17.7,24.2,40.7,14.9
1975,5.6,11.9,17.7,24.2,40.7,14.9
1974,5.7,12.0,17.6,24.1,40.6,14.8
1973,5.5,11.9,17.5,24.0,41.1,15.5
1972,5.5,11.9,17.5,23.9,41.4,15.9
1971,5.5,12.0,17.6,23.8,41.1,15.7
1970,5.4,12.2,17.6,23.8,40.9,15.6
1969,5.6,12.4,17.7,23.7,40.6,15.6
1968,5.6,12.4,17.7,23.7,40.5,15.6
1967,5.4,12.2,17.5,23.5,41.4,16.4
1966,5.6,12.4,17.8,23.8,40.5,15.6
1965,5.2,12.2,17.8,23.9,40.9,15.5
1964,5.1,12.0,17.7,24.0,41.2,15.9
1963,5.0,12.1,17.7,24.0,41.2,15.8
1962,5.0,12.1,17.6,24.0,41.3,15.7
1961,4.7,11.9,17.5,23.8,42.2,16.6
1960,4.8,12.2,17.8,24.0,41.3,15.9
1959,4.9,12.3,17.9,23.8,41.1,15.9
1958,5.0,12.5,18.0,23.9,40.6,15.4
1957,5.1,12.7,18.1,23.8,40.4,15.6
1956,5.0,12.5,17.9,23.7,41.0,16.1
1955,4.8,12.3,17.8,23.7,41.3,16.4
1954,4.5,12.1,17.7,23.9,41.8,16.3
1953,4.7,12.5,18.0,23.9,40.9,15.7
1952,4.9,12.3,17.4,23.4,41.9,17.4
1951,5.0,12.4,17.6,23.4,41.6,16.8
1950,4.5,12.0,17.4,23.4,42.7,17.3
1949,4.5,11.9,17.3,23.5,42.7,16.9
1948,4.9,12.1,17.3,23.2,42.4,17.1
1947,5.0,11.9,17.0,23.1,43.0,17.5
